Title,Author,Publication Year
Wer soll der Hüter der Verfassung sein? / Hans Kelsen,"Kelsen, Hans [Verfasser]",2017
"Das internationale Wirken Hans Kelsens / herausgegeben von Clemens Jabloner, Thomas Olechowski, Klaus Zeleny","Jabloner, Clemens [Herausgeber]; Olechowski, Thomas [Herausgeber]; Zeleny, Klaus [Herausgeber]",2016
Das Problem des Parlamentarismus / Hans Kelsen,"Kelsen, Hans [Verfasser]",2016
"Essere, dover essere : saggio su Hans Kelsen / Tommaso Gazzolo ; prefazione di Vincenzo Vitiello","Gazzolo, Tommaso [Verfasser]",2016
"Il leviatano democratico : parlamento, partiti e capi tra Weber e Kelsen / David Ragazzoni","Ragazzoni, David [Verfasser]",2016
La logica del diritto : dieci aporie nell'opera di Hans Kelsen / Luigi Ferrajoli,"Ferrajoli, Luigi [Verfasser]",2016
Sozialismus und Staat : Eine Untersuchung d. polit. Theorie d. Marxismus / von Hans Kelsen,"Kelsen, Hans [Verfasser]",2016
"Stato, scienza e società in Hans Kelsen : su alcune antinomie della dottrina pura del diritto / Antonino Scalone","Scalone, Antonino [Verfasser]",2016
Terminologiewörterbuch Hans Kelsen : deutsch-englisches Glossar für die Übersetzungspraxis / von Ramon Pils,"Pils, Ramon [Verfasser]",2016
Tri priloga čistoj teoriji prava / Robert Valter ; preveo Danilo N. Basta,"Walter, Robert [Verfasser]",2016
Was ist Gerechtigkeit? / Hans Kelsen,"Kelsen, Hans [Verfasser]",2016
Was ist Gerechtigkeit? : [Was bedeutet das alles?] / Hans Kelsen,"Kelsen, Hans [Verfasser]; Walter, Robert [Verfasser eines Nachworts]",2016
"L' anima e lo Stato : Hans Kelsen e Sigmund Freud / Federico Lijoi, Francesco Saverio Trincia","Lijoi, Federico [Verfasser]; Trincia, Francesco Saverio [Verfasser]",2015
Minshu shugi no honshitsu to kachi : hoka ippen / Keruzen Hansu cho. Nagao Ryuichi ; Ueda Shuntarō yaku,"Kelsen, Hans [Verfasser]; Nagao, Ryūichi [Übersetzer]; Ueda, Shuntarō [Übersetzer]",2015
"O státu, právu a demokracii : výběr prací z let 1914-1938 / Hans Kelsen ; editor Ondřej Horák","Kelsen, Hans [Verfasser]; Horák, Ondřej [Herausgeber]",2015
[Allgemeine Theorie der Normen] ; Opća teorija normi,"Kelsen, Hans",2015
"Rechtsnormen und Rationalität : zum Problem der Rechtsgeltung bei Hans Kelsen, Jürgen Habermas und Niklas Luhmann / von Johannes Meiners","Meiners, Johannes [Verfasser]",2015
"Rechtsnormen und Rationalität. : Zum Problem der Rechtsgeltung bei Hans Kelsen, Jürgen Habermas und Niklas Luhmann. / Johannes Meiners","Meiners, Johannes [Verfasser]",2015
"The guardian of the constitution: Hans Kelsen and Carl Schmitt on the limits of constitutional law / translation, introduction and notes by Lars Vinx","Vinx, Lars [Herausgeber] [Übersetzer]; Kelsen, Hans [Mitwirkender]; Schmitt, Carl [Mitwirkender]",2015
Hans Kelsen : vida y obra / Gregorio Robles,"Robles Morchón, Gregorio [Verfasser]",2014
Hans Kelsen: die Aktualität eines großen Rechtswissenschafters und Soziologen des 20. Jahrhunderts : Ergebnisse einer internationalen Tagung an der Akademie von Athen am 12. April 2013 aus Anlass von Kelsens 40. Todestag / hrsg. von Nikitas Aliprantis ; Thomas Olechowski,"Aliprantēs, Nikētas [Herausgeber]; Olechowski, Thomas [Herausgeber]",2014
Problem zarachowania w normatywizmie Hansa Kelsena / Monika Zalewska,"Zalewska, Monika [Verfasser]",2014
"Rechts- und Verfassungspolitologie bei Ernst Fraenkel und Otto Kirchheimer : Kritik und Rezeption des Rechtspositivismus von Hans Kelsen und der politischen ""Freund-Feind-Theologie"" von Carl Schmitt / Robert Chr. van Ooyen","Ooyen, Robert Chr. van [Verfasser]",2014
"Hans Kelsen : ē diachronikotēta tu pneumatos sto nomiko kai koinōniologiko tu ergo ; oi ergasies tu diethnus synedriu / dieuthynsē, epimeleia Nikētas Aliprantēs","Aliprantēs, Nikētas [Herausgeber]",2013
Hans Kelsen und die deutsche Staatsrechtslehre : Stationen eines wechselvollen Verhältnisses / hrsg. von Matthias Jestaedt,"Jestaedt, Matthias [Herausgeber]",2013
Kelsen im Spiegel der italienischen Rechtslehre / Antonio Merlino,"Merlino, Antonio [Verfasser]",2013
Kelsen im Spiegel der italienischen Rechtslehre / Antonio Merlino,"Merlino, Antonio [Verfasser]",2013
"Les fictions du droit : Kelsen, lecteur de Vaihinger / [par Christophe Bouriau]","Bouriau, Christophe [Verfasser]; Kelsen, Hans",2013
[Vom Wesen und Wert der Demokratie.] ; Pro sutnist i chinnist demokratii / Hans Kel'zen ; Pereklad z nimec'koï Oleksandra Mokrovol's'koho,"Kelsen, Hans [Verfasser]; Mokrovol's'kyj, Oleksandr [Übersetzer]",2013
"Secular Religion : A Polemic against the Misinterpretation of Modern Social Philosophy, Science and Politics as ""New Religions"" / Hans Kelsen","Kelsen, Hans [Verfasser]; Walter, Robert [Herausgeber]; Jabloner, Clemens [Herausgeber]; Zeleny, Klaus [Herausgeber]",2013
Secular religion : Rezeption und Kritik von Hans Kelsens Auseinandersetzung mit Religion und Wissenschaft / hrsg. von Clemens Jabloner ... [Eckhart Arnold ...],"Jabloner, Clemens [Herausgeber]; Arnold, Eckhart [Mitwirkender]; Olechowski, Thomas [Herausgeber]; Zeleny, Klaus [Herausgeber]",2013
Sovranità e diritti : la dottrina dello stato da Jellinek a Schmitt / Giuliana Stella,"Stella, Giuliana [Verfasser]",2013
[Vom Wesen und Wert der Demokratie] ; The essence and value of democracy / Hans Kelsen ; edited by Nadia Urbinati and Carlo Invernizzi Accetti ; translated by Brian Graf,"Kelsen, Hans [Verfasser]; Urbinati, Nadia [Mitwirkender]; Accetti, Carlo Invernizzi [Mitwirkender]",2013
Bd. 4. Veröffentlichte Schriften 1918 - 1920,,2013
[Kelsen] ; Čista teorija prava : uvod u problematiku pravne znanosti / Hans Kelsen ; s njemačkoga preveo Kiril Miladinov,"Kelsen, Hans [Verfasser]",2012
Hans Kelsen : normativismo e diritto privato / Michele Prospero,"Prospero, Michele [Verfasser]",2012
